fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
235CHD3000,108,,PR00036201,235CHD3000.9.6,6. Transferts et subventions aux homolog,HARD,0.0,0.0,,BOTH-EXHAUSTED,2809,4,1
235CMR3001,108,,PR00034129,235CMR3001,Appui à la participation des femmes et,HARD,0.0,0.0,,BOTH-EXHAUSTED,2810,1,1
235CMR3002,108,,PR00036226,235CMR3002,Les Jeunes tisserands de la paix dans le,HARD,0.0,0.0,,BOTH-EXHAUSTED,2811,1,1
235CMR3002,108,,PR00036416,235CMR3002.11.7,7. Frais généraux de fonctionnement et a,HARD,0.0,0.0,,BOTH-EXHAUSTED,2812,2,1
235CMR3003,108,,PR00046571,235CMR3003,Appui à la mise en œuvre du programme na,HARD,147004.78,-15945.2,YAO/13,FM-EXHAUSTED,744,2,1
235CMR3003,108,,PR00046575,235CMR3003.1.2,"2. Fournitures, produits de base, matéri",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1057,16,1
235CMR3003,108,,PR00046576,235CMR3003.1.3,"3. Équipement, véhicules et mobilier (co",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1058,12,1
235CMR3003,108,,PR00046577,235CMR3003.1.4,4. Services contractuels,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1059,42,1
235CMR3003,108,,PR00046578,235CMR3003.1.5,5. Frais de déplacement,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1060,102,1
235CMR3003,108,,PR00046579,235CMR3003.1.6,6. Transferts et subventions aux homolog,HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1061,40,1
235CMR3003,108,,PR00046580,235CMR3003.1.7,7. Frais généraux de fonctionnement et a,HARD,691.68,-4750.59,YAO/11,FM-EXHAUSTED,1062,56,1
235CMR3003,108,,PR00046583,235CMR3003.2.2,"2. Fournitures, produits de base, matéri",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1063,31,1
235CMR3003,108,,PR00046584,235CMR3003.2.3,"3. Équipement, véhicules et mobilier (co",HARD,0.0,-4750.59,YAO/11,BOTH-EXHAUSTED,1064,14,1
