wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00000109,4,Major Programme 4 (Culture),2230633111,009,369,5.45,20047784.84,0.0,1
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230633161,009,275,4.38,14610978.92,0.0,2
PR00000107,2,Major Programme 2 (Natural Sciences),2230835081,004,591,1218.54,25643916.0,0.0,9
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230837121,004,275,2017.41,14610978.92,0.01,8
PR00000107,2,Major Programme 2 (Natural Sciences),2230841031,001,591,1744.38,25643916.0,0.01,3
PR00000109,4,Major Programme 4 (Culture),2230841231,001,369,3466.43,20047784.84,0.02,13
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230841341,001,275,912.39,14610978.92,0.01,5
PR00000106,1,Major Programme 1 (Education),2230841351,001,592,44.06,51817355.99,0.0,1
PR00000106,1,Major Programme 1 (Education),2230841441,001,592,1311.55,51817355.99,0.0,5
PR00000106,1,Major Programme 1 (Education),2230841451,001,592,652.0,51817355.99,0.0,1
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230841451,001,275,696.0,14610978.92,0.0,1
PR00000107,2,Major Programme 2 (Natural Sciences),2230861011,003,591,30411.57,25643916.0,0.12,15
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230861011,003,275,2076.94,14610978.92,0.01,1
PR00000107,2,Major Programme 2 (Natural Sciences),2230861021,003,591,11418.36,25643916.0,0.04,4
PR00000107,2,Major Programme 2 (Natural Sciences),2230861041,013,591,9.28,25643916.0,0.0,3
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230861041,013,275,24470.32,14610978.92,0.17,11
PR00000106,1,Major Programme 1 (Education),2240117195,005,592,6000.0,51817355.99,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,230RAS2006,108,1211,11284.05,48376526.57,0.02,17
PR00027627,680REV9001,Management Cost PFF technical account,235BIH4002,108,1211,20994.41,48376526.57,0.04,23
PR00027627,680REV9001,Management Cost PFF technical account,235CHD3000,108,1211,130.27,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,235CMR3002,108,1211,12.36,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,235CMR3003,108,1211,137674.59,48376526.57,0.28,25
PR00027627,680REV9001,Management Cost PFF technical account,235CMR4000,108,1211,79260.99,48376526.57,0.16,22
PR00027627,680REV9001,Management Cost PFF technical account,235CMR5000,108,1211,7557.11,48376526.57,0.02,6
PR00027627,680REV9001,Management Cost PFF technical account,235CMR5001,105,1211,359.59,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,235DRC5000,108,1211,12483.21,48376526.57,0.03,14
PR00027627,680REV9001,Management Cost PFF technical account,235GAM5000,108,1211,1047.6,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,235GAM5001,108,1211,32742.19,48376526.57,0.07,25
PR00027627,680REV9001,Management Cost PFF technical account,235GBS1000,108,1211,1965.66,48376526.57,0.0,5
PR00027627,680REV9001,Management Cost PFF technical account,235GBS5000,108,1211,30075.88,48376526.57,0.06,24
PR00027627,680REV9001,Management Cost PFF technical account,235GUA1001,108,1211,23017.72,48376526.57,0.05,25
PR00027627,680REV9001,Management Cost PFF technical account,235GUA1002,108,1211,18145.39,48376526.57,0.04,17
PR00027627,680REV9001,Management Cost PFF technical account,235GUA1003,108,1211,6397.33,48376526.57,0.01,9
