NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_6025412550,N_9145273120,PmtId,ELEM,/SEPA_CT_ICTP_ISO,000,003,N_6289915400,0000,000,000,,,8,C,,,,,,,N_0905282590
N_6048457700,N_4880705930,xsi:schemaLocation,XMAT,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,1,C,FPM_SEPA,SCHEMALOCATION,,urn:CBI:xsd:CBIPaymentRequest.00.04.01 CBIPaymentRequest.00.04.01.xsd,,4,N_9961450310
N_6289915400,N_6025412550,InstrId,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_7595589420,0000,000,000,,,6,C,,,,,,,N_2590134600
N_6307338780,N_2590134600,NOTPROVIDED,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0012,000,000,,,1,C,,,,NOTPROVIDED,,,
N_6311223610,N_9926185740,TwnNm,ELEM,/SEPA_CT_ICTP_ISO,000,002,,0040,000,000,CL RP    X,,2,C,FPAYHX,ORT1Z,,,,1,N_3928239110
N_6389156500,N_4880705930,xmlns,XMAT,/SEPA_CT_ICTP_ISO,000,000,N_6621347550,0000,000,000,,,6,C,,,,,,,N_1348246140
N_6423782520,N_0905282590,CtgyPurp,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_3927356240,0000,000,000,,,8,C,,,,,,,
N_6621347550,N_6389156500,ISO,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0070,000,000,,,1,C,,,,urn:CBI:xsd:CBIPaymentRequest.00.04.01,,,N_3311263550
N_6647036830,N_0179888070,YYYY,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0004,000,000,CL,,2,C,SYST,DATLO,,,,5,N_2225536670
N_6785781300,N_9218834580,KOINH,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0070,000,000,CL RP    X,,2,C,FPAYH,KOINH,,,KOINH,1,N_9866937420
N_7013458070,N_5757373800,MmbId,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0005,000,000,,,2,C,FPAYHX,UBNKL,,,,1,
N_7068451440,N_4754354180,TwnNm,ELEM,/SEPA_CT_ICTP_ISO,000,003,,0035,000,000,CL RP    X,,2,C,FPAYH,ZORT1,,,,1,N_4138520450
N_7192103500,N_1489713350,PmtTpInf,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_5757152900,0000,000,000,,,8,C,,,,,,,N_5694995210
N_7336576310,N_1489713350,PmtMtd,ELEM,/SEPA_CT_ICTP_ISO,000,002,,0000,000,000,,,1,C,,,,TRF,,,N_7192103500
N_7338309650,N_0450028060,Cd,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0003,000,000,,,1,C,,,,,,,N_2124972750
N_7493536070,N_0875432660,Ustrd,ELEM,/SEPA_CT_ICTP_ISO,000,003,N_2470231520,0140,000,000,,1,6,C,DMEE_PAYD,TEXT,,,,3,N_5101565700
N_7551683230,N_1307819380,IBAN,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,UIBAN,,,,1,
N_7595589420,N_6289915400,DOC1T,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0002,000,000,,,2,C,FPAYH,DOC1T,,,,1,N_0763355730
N_7631742550,N_1489713350,DbtrAgt,ELEM,/SEPA_CT_ICTP_ISO,000,002,N_3904828830,0000,000,000,,,8,C,,,,,,,N_3895768940
N_8000297680,N_6289915400,DOC1R(2),ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,000,001,,,2,C,FPAYH,DOC1R,,,,1,N_8033474340
N_8033474340,N_6289915400,DOC1R(3),ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,000,002,,,2,C,FPAYH,DOC1R,,,,1,N_0856187240
N_8313338750,N_1348246140,ISO,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0070,000,000,,,1,C,,,,http://www.w3.org/2001/XMLSchema-instance,,,N_6010401760
N_8516624060,N_0176201200,Ccy,XMAT,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,WAERS,,,,1,
N_8648256460,N_2590134600,PAYD2,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0035,000,000,CL RP    X,2,2,C,DMEE_PAYD,TEXT,,,E2E,3,N_6307338780
N_8802306100,N_1503965350,OrgId,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_4001913450,0000,000,000,,,8,C,,,,,,,
N_8885067030,N_3904828830,BICFI,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,2,C,FPAYHX,USWIF,,,,1,N_5757373800
N_8992487460,N_9145273120,CdtrAgt,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_3397912560,0000,000,000,,,8,C,,,,,,,N_4788773110
N_9051497000,N_7493536070,REFERENCE1,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,N_4799051040
N_9079232430,N_0179888070,-,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,004,000,CL,,1,C,,,,-,,,N_1420837010
N_9099483080,N_7192103500,SvcLvl,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_4310311010,0000,000,000,,,8,C,,,,,,,
N_9145273120,N_1489713350,CdtTrfTxInf,ELEM,/SEPA_CT_ICTP_ISO,000,003,N_6025412550,0000,000,000,,,8,C,,,,,TX,,
N_9154022450,N_3212123950,YYYY,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0004,000,000,CL,,2,C,FPAYH,AUSFD,,,,1,N_4864286940
N_9198189290,N_1489713350,PmtInfId,ELEM,/SEPA_CT_ICTP_ISO,000,002,,0016,000,000,,,2,C,FPAYHX,RENUM,DMEE_EXIT_SEPA_21,,,1,N_7336576310
N_9200592860,N_9961450310,CtrlSum,ELEM,/SEPA_CT_ICTP_ISO,000,001,,0018,000,000,AL.2,,4,P,FPAYHX,RENUM,,,,1,N_4457909410
N_9218834580,N_4788773110,Nm,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_6785781300,0000,000,000,,,6,C,,,,,,,N_4754354180
N_9481469990,N_1489713350,Dbtr,ELEM,/SEPA_CT_ICTP_ISO,000,002,N_2411404380,0000,000,000,,,8,C,,,,,,,N_1769383930
N_9746682670,N_1761132200,NAMEZ,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,CL RP    X,,2,C,FPAYHX,NAMEZ,,,,1,
N_9866937420,N_9218834580,ZNME1,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0070,000,000,CL RP    X,,2,C,FPAYH,ZNME1,,,,1,
N_9926185740,N_9481469990,PstlAdr,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_4946758140,0000,000,000,,,8,C,,,,,,,
N_9961450310,N_4880705930,GrpHdr,ELEM,/SEPA_CT_ICTP_ISO,000,001,N_3341543230,0000,000,000,,,8,C,,,,,,,N_1489713350
